order_id,customer_id,order_date,status,region_code
1,250.0,2024-04-10,SHIPPED,SOUTH
2,161.0,2024-05-06,SHIPPED,NORTH
3,434.0,2023-09-19,DELIVERED,SOUTH
4,9.0,2023-02-13,CANCELLED,NORTH
5,259.0,2023-01-04,CANCELLED,SOUTH
6,258.0,2023-05-04,RETURNED,WEST
7,299.0,2024-10-11,CANCELLED,EAST
8,35.0,2023-06-29,SHIPPED,EAST
9,-1.0,2024-11-05,RETURNED,EAST
10,232.0,2023-08-28,DELIVERED,WEST
11,75.0,2023-09-02,DELIVERED,NORTH
12,393.0,,DELIVERED,SOUTH
13,175.0,2024-03-13,CANCELLED,SOUTH
14,247.0,2023-10-05,CANCELLED,WEST
15,226.0,2024-10-23,CANCELLED,SOUTH
16,63.0,2024-06-06,DELIVERED,EAST
17,271.0,2024-07-04,CANCELLED,SOUTH
18,326.0,2023-09-22,RETURNED,SOUTH
19,354.0,2024-12-05,DELIVERED,NORTH
20,284.0,2024-01-05,PLACED,SOUTH
21,-1.0,2024-06-14,PLACED,SOUTH
22,124.0,2023-07-16,PLACED,EAST
23,24.0,2023-12-14,RETURNED,NORTH
24,115.0,2023-04-24,SHIPPED,SOUTH
25,70.0,2023-06-27,PLACED,EAST
26,170.0,2023-09-14,DELIVERED,WEST
27,214.0,2023-03-12,PLACED,EAST
28,208.0,2024-10-14,PLACED,NORTH
29,-1.0,2023-09-03,CANCELLED,WEST
30,133.0,2024-11-26,RETURNED,NORTH
31,441.0,2024-10-01,DELIVERED,WEST
32,451.0,2024-11-20,DELIVERED,WEST
33,202.0,2024-05-02,RETURNED,SOUTH
34,61.0,2023-12-16,RETURNED,EAST
35,159.0,2024-12-14,DELIVERED,EAST
36,355.0,2024-03-06,SHIPPED,EAST
37,297.0,2024-07-25,CANCELLED,EAST
38,335.0,2023-12-01,RETURNED,NORTH
39,459.0,2023-05-17,RETURNED,NORTH
40,101.0,2023-02-27,SHIPPED,NORTH
41,242.0,2024-10-24,CANCELLED,NORTH
42,340.0,2023-08-22,CANCELLED,NORTH
43,63.0,2023-10-16,RETURNED,SOUTH
44,186.0,2023-11-18,CANCELLED,SOUTH
45,376.0,2024-07-18,PLACED,EAST
46,-1.0,2023-06-23,CANCELLED,EAST
47,-1.0,2024-10-05,CANCELLED,NORTH
48,467.0,2023-10-04,SHIPPED,SOUTH
49,213.0,2023-03-17,SHIPPED,NORTH
50,442.0,2024-09-01,RETURNED,EAST
51,10.0,,RETURNED,EAST
52,-1.0,2024-01-24,RETURNED,EAST
53,464.0,2023-11-30,RETURNED,EAST
54,287.0,2024-12-03,RETURNED,SOUTH
55,267.0,2024-10-21,CANCELLED,WEST
56,165.0,2023-09-09,SHIPPED,NORTH
57,283.0,,SHIPPED,SOUTH
58,354.0,2023-10-18,SHIPPED,WEST
59,3.0,2023-02-19,DELIVERED,WEST
60,222.0,2024-03-10,DELIVERED,EAST
61,318.0,2023-10-30,SHIPPED,WEST
62,-1.0,2023-03-26,SHIPPED,NORTH
63,205.0,2023-07-18,PLACED,EAST
64,319.0,2024-06-26,SHIPPED,EAST
65,313.0,2023-11-26,CANCELLED,EAST
66,346.0,,PLACED,WEST
67,11.0,2023-10-12,PLACED,EAST
68,343.0,2023-01-01,PLACED,EAST
69,174.0,2024-08-19,SHIPPED,NORTH
70,471.0,2024-01-13,DELIVERED,SOUTH
71,363.0,2023-02-02,PLACED,WEST
72,366.0,2024-12-22,CANCELLED,NORTH
73,372.0,2024-10-16,SHIPPED,WEST
74,42.0,2023-05-09,SHIPPED,EAST
75,89.0,2024-07-25,PLACED,WEST
76,219.0,2023-12-11,SHIPPED,NORTH
77,411.0,2024-10-06,PLACED,EAST
78,275.0,2023-11-07,RETURNED,NORTH
79,370.0,,DELIVERED,NORTH
80,303.0,,SHIPPED,NORTH
81,230.0,2024-05-25,CANCELLED,NORTH
82,470.0,2023-11-05,PLACED,NORTH
83,479.0,2023-05-16,RETURNED,NORTH
84,4.0,2024-04-03,DELIVERED,EAST
85,420.0,2024-12-02,DELIVERED,SOUTH
86,64.0,2024-05-22,SHIPPED,WEST
87,246.0,2023-03-23,SHIPPED,EAST
88,309.0,2024-08-23,PLACED,EAST
89,355.0,2023-02-15,DELIVERED,NORTH
90,313.0,2023-05-24,CANCELLED,EAST
91,483.0,2023-09-08,PLACED,EAST
92,348.0,2023-05-02,CANCELLED,EAST
93,201.0,2024-11-09,CANCELLED,WEST
94,378.0,2024-09-05,CANCELLED,EAST
95,352.0,2023-07-24,RETURNED,WEST
96,137.0,2024-04-01,CANCELLED,SOUTH
97,223.0,2023-09-07,PLACED,WEST
98,17.0,2024-01-23,RETURNED,SOUTH
99,244.0,2024-02-29,SHIPPED,SOUTH
100,301.0,2024-11-09,SHIPPED,SOUTH
101,405.0,2024-03-21,RETURNED,WEST
102,123.0,2024-06-12,PLACED,NORTH
103,484.0,2023-03-16,PLACED,EAST
104,125.0,2023-03-14,PLACED,EAST
105,53.0,2024-08-08,RETURNED,SOUTH
106,375.0,2024-10-11,PLACED,EAST
107,447.0,2024-09-06,SHIPPED,WEST
108,-1.0,2024-01-12,DELIVERED,WEST
109,-1.0,2023-05-22,DELIVERED,NORTH
110,197.0,2023-07-03,SHIPPED,WEST
111,487.0,2023-07-10,CANCELLED,NORTH
112,66.0,2024-04-10,SHIPPED,EAST
113,410.0,,PLACED,NORTH
114,436.0,,SHIPPED,EAST
115,278.0,2024-01-22,SHIPPED,NORTH
116,69.0,2023-03-05,RETURNED,SOUTH
117,486.0,2024-03-18,CANCELLED,SOUTH
118,396.0,2023-09-26,DELIVERED,SOUTH
119,474.0,2024-02-27,SHIPPED,WEST
120,337.0,2023-03-26,DELIVERED,NORTH
121,492.0,,CANCELLED,WEST
122,353.0,2024-11-15,CANCELLED,SOUTH
123,128.0,2023-03-24,RETURNED,SOUTH
124,162.0,2023-10-19,CANCELLED,WEST
125,106.0,2024-10-17,RETURNED,SOUTH
126,128.0,2023-03-29,CANCELLED,NORTH
127,156.0,,DELIVERED,NORTH
128,-1.0,2023-12-17,CANCELLED,SOUTH
129,454.0,,DELIVERED,NORTH
130,75.0,2023-01-02,PLACED,NORTH
131,442.0,2024-08-08,RETURNED,WEST
132,311.0,2024-08-21,DELIVERED,NORTH
133,311.0,2023-09-10,CANCELLED,SOUTH
134,95.0,2023-01-22,PLACED,NORTH
135,145.0,2023-05-18,DELIVERED,EAST
136,44.0,2023-11-22,RETURNED,NORTH
137,169.0,2023-12-20,CANCELLED,NORTH
138,496.0,2023-12-02,PLACED,NORTH
139,420.0,2023-06-08,RETURNED,NORTH
140,300.0,2023-04-27,DELIVERED,EAST
141,398.0,2023-07-13,DELIVERED,NORTH
142,241.0,2024-04-14,CANCELLED,NORTH
143,424.0,2024-04-06,CANCELLED,WEST
144,278.0,2023-11-10,RETURNED,SOUTH
145,285.0,2024-12-12,DELIVERED,EAST
146,213.0,,SHIPPED,SOUTH
147,212.0,2024-10-07,PLACED,EAST
148,424.0,2024-05-17,DELIVERED,SOUTH
149,-1.0,2024-09-02,PLACED,WEST
150,88.0,2024-10-25,DELIVERED,SOUTH
151,469.0,2023-03-24,CANCELLED,WEST
152,161.0,2024-04-27,SHIPPED,SOUTH
153,153.0,2023-01-02,CANCELLED,NORTH
154,209.0,2024-11-09,RETURNED,WEST
155,280.0,,CANCELLED,WEST
156,499.0,2024-09-18,PLACED,EAST
157,186.0,2023-04-12,RETURNED,NORTH
