product_id,product_name,category,subcategory,cost_price
1,Product_1,Books,subcategory_1,1076
2,Product_2,Electronics,subcategory_1,596
3,Product_3,Home,subcategory_1,228
4,Product_4,Clothing,subcategory_2,890
5,Product_5,Clothing,subcategory_3,172
6,Product_6,Electronics,subcategory_4,582
7,Product_7,Home,subcategory_5,1410
8,Product_8,Books,subcategory_4,1983
9,Product_9,Books,subcategory_1,1451
10,Product_10,Electronics,subcategory_1,328
11,Product_11,Home,subcategory_4,1987
12,Product_12,Clothing,subcategory_3,567
13,Product_13,Electronics,subcategory_4,224
14,Product_14,Clothing,subcategory_5,1659
15,Product_15,Home,subcategory_1,1441
16,Product_16,Electronics,subcategory_4,965
17,Product_17,Home,subcategory_5,1688
18,Product_18,Books,subcategory_2,998
19,Product_19,Electronics,subcategory_2,1264
20,Product_20,Books,subcategory_2,186
21,Product_21,Electronics,subcategory_5,788
22,Product_22,Home,subcategory_1,751
23,Product_23,Books,subcategory_1,1835
24,Product_24,Electronics,subcategory_3,714
25,Product_25,Books,subcategory_3,1630
26,Product_26,Clothing,subcategory_2,987
27,Product_27,Electronics,subcategory_1,1059
28,Product_28,Home,subcategory_2,1337
29,Product_29,Clothing,subcategory_1,449
30,Product_30,Electronics,subcategory_5,457
31,Product_31,Clothing,subcategory_3,715
32,Product_32,Home,subcategory_2,1241
33,Product_33,Clothing,subcategory_1,317
34,Product_34,Electronics,subcategory_2,237
35,Product_35,Books,subcategory_2,1574
36,Product_36,Books,subcategory_2,118
37,Product_37,Books,subcategory_1,1716
38,Product_38,Home,subcategory_4,1909
39,Product_39,Clothing,subcategory_3,226
40,Product_40,Home,subcategory_2,552
41,Product_41,Clothing,subcategory_1,1996
42,Product_42,Books,subcategory_5,1541
43,Product_43,Clothing,subcategory_1,1725
44,Product_44,Electronics,subcategory_3,615
45,Product_45,Home,subcategory_5,1939
46,Product_46,Books,subcategory_3,523
47,Product_47,Home,subcategory_4,980
48,Product_48,Home,subcategory_1,1608
49,Product_49,Home,subcategory_2,795
50,Product_50,Home,subcategory_1,1864
51,Product_51,Books,subcategory_1,1689
52,Product_52,Home,subcategory_5,407
53,Product_53,Books,subcategory_5,860
54,Product_54,Books,subcategory_1,412
55,Product_55,Books,subcategory_1,1998
56,Product_56,Books,subcategory_2,745
57,Product_57,Books,subcategory_2,763
58,Product_58,Electronics,subcategory_5,1338
59,Product_59,Electronics,subcategory_2,1560
60,Product_60,Electronics,subcategory_4,1468
61,Product_61,Books,subcategory_5,450
62,Product_62,Books,subcategory_3,1093
63,Product_63,Electronics,subcategory_5,1944
64,Product_64,Clothing,subcategory_3,1630
65,Product_65,Home,subcategory_3,507
66,Product_66,Books,subcategory_2,108
67,Product_67,Home,subcategory_5,1548
68,Product_68,Electronics,subcategory_5,706
69,Product_69,Electronics,subcategory_3,491
70,Product_70,Books,subcategory_3,1071
71,Product_71,Books,subcategory_3,1418
72,Product_72,Home,subcategory_4,773
73,Product_73,Home,subcategory_5,1817
74,Product_74,Electronics,subcategory_4,1115
75,Product_75,Home,subcategory_1,1094
76,Product_76,Books,subcategory_1,1777
77,Product_77,Books,subcategory_1,668
78,Product_78,Home,subcategory_4,427
79,Product_79,Home,subcategory_1,1283
80,Product_80,Books,subcategory_3,1568
81,Product_81,Books,subcategory_5,1577
82,Product_82,Clothing,subcategory_1,613
83,Product_83,Books,subcategory_1,126
84,Product_84,Books,subcategory_5,1083
85,Product_85,Electronics,subcategory_1,348
86,Product_86,Home,subcategory_1,1858
87,Product_87,Books,subcategory_3,1298
88,Product_88,Electronics,subcategory_2,1679
89,Product_89,Electronics,subcategory_4,619
90,Product_90,Home,subcategory_5,1195
91,Product_91,Electronics,subcategory_5,621
92,Product_92,Electronics,subcategory_5,222
93,Product_93,Books,subcategory_4,1093
94,Product_94,Electronics,subcategory_3,1258
95,Product_95,Clothing,subcategory_5,1477
96,Product_96,Electronics,subcategory_1,1907
97,Product_97,Books,subcategory_5,1622
98,Product_98,Electronics,subcategory_3,606
99,Product_99,Electronics,subcategory_5,409
100,Product_100,Clothing,subcategory_3,695
101,Product_101,Electronics,subcategory_1,1132
102,Product_102,Clothing,subcategory_1,563
103,Product_103,Books,subcategory_5,1064
104,Product_104,Books,subcategory_2,1426
105,Product_105,Clothing,subcategory_2,1221
106,Product_106,Clothing,subcategory_5,1125
107,Product_107,Home,subcategory_2,1383
108,Product_108,Books,subcategory_3,413
109,Product_109,Home,subcategory_4,455
110,Product_110,Books,subcategory_1,1093
111,Product_111,Home,subcategory_2,1784
112,Product_112,Clothing,subcategory_4,1070
113,Product_113,Home,subcategory_5,628
114,Product_114,Electronics,subcategory_3,1646
115,Product_115,Electronics,subcategory_1,1532
116,Product_116,Home,subcategory_4,266
117,Product_117,Books,subcategory_5,1090
118,Product_118,Books,subcategory_5,1699
119,Product_119,Clothing,subcategory_5,220
120,Product_120,Clothing,subcategory_5,936
121,Product_121,Electronics,subcategory_5,1556
122,Product_122,Clothing,subcategory_1,619
123,Product_123,Books,subcategory_3,663
124,Product_124,Electronics,subcategory_1,553
125,Product_125,Electronics,subcategory_3,962
126,Product_126,Clothing,subcategory_5,234
127,Product_127,Clothing,subcategory_3,736
128,Product_128,Home,subcategory_5,1474
129,Product_129,Clothing,subcategory_2,1038
130,Product_130,Books,subcategory_4,1176
131,Product_131,Clothing,subcategory_1,1480
132,Product_132,Electronics,subcategory_5,1795
133,Product_133,Electronics,subcategory_5,1898
134,Product_134,Books,subcategory_5,388
135,Product_135,Home,subcategory_1,117
136,Product_136,Books,subcategory_2,1971
137,Product_137,Electronics,subcategory_2,748
138,Product_138,Home,subcategory_1,1206
139,Product_139,Clothing,subcategory_3,1335
140,Product_140,Home,subcategory_2,221
141,Product_141,Home,subcategory_3,1376
142,Product_142,Home,subcategory_4,1780
143,Product_143,Home,subcategory_5,643
144,Product_144,Books,subcategory_1,711
145,Product_145,Clothing,subcategory_5,1507
146,Product_146,Home,subcategory_4,1523
147,Product_147,Clothing,subcategory_4,1754
148,Product_148,Electronics,subcategory_3,782
149,Product_149,Electronics,subcategory_3,1734
150,Product_150,Clothing,subcategory_5,463
151,Product_151,Home,subcategory_2,134
152,Product_152,Electronics,subcategory_1,1682
153,Product_153,Clothing,subcategory_5,355
154,Product_154,Home,subcategory_5,1158
155,Product_155,Home,subcategory_2,403
156,Product_156,Clothing,subcategory_4,568
157,Product_157,Home,subcategory_5,1874
158,Product_158,Clothing,subcategory_1,1604
159,Product_159,Books,subcategory_3,361
160,Product_160,Home,subcategory_3,612
161,Product_161,Home,subcategory_2,575
