item_id,order_id,product_id,quantity,unit_price,discount_percent
1,15,436,1,1894,36
2,363,334,3,1710,43
3,218,396,2,287,40
4,97,398,-1,1622,29
5,493,451,4,322,41
6,230,12,3,1170,18
7,498,274,5,1810,50
8,149,190,3,1931,0
9,189,261,1,159,16
10,43,159,1,1955,7
11,158,152,1,699,4
12,222,227,2,175,50
13,465,45,2,753,50
14,520,211,4,1467,10
15,540,439,3,1366,9
16,274,280,1,444,8
17,220,303,1,1014,46
18,460,178,1,397,50
19,515,428,5,1152,31
20,93,373,4,177,16
21,444,325,-2,370,33
22,268,146,4,315,31
23,243,494,1,1421,50
24,543,308,1,960,35
25,141,68,2,1263,5
26,353,230,4,356,32
27,414,255,2,590,38
28,438,130,3,1486,43
29,116,153,4,1025,0
30,173,304,5,164,21
31,437,376,5,138,1
32,216,254,5,537,39
33,415,334,2,620,44
34,338,286,3,1534,14
35,206,424,3,605,4
36,501,376,2,1241,6
37,185,201,2,1223,6
38,435,139,5,607,7
39,249,411,5,199,10
40,229,60,5,787,18
41,190,171,3,1046,5
42,248,251,4,921,16
43,387,362,4,1850,44
44,187,129,1,220,16
45,65,22,4,1822,10
46,500,496,3,1434,14
47,146,403,3,781,41
48,404,495,3,984,35
49,140,84,2,282,36
50,343,217,5,1547,26
51,286,172,2,249,43
52,269,29,3,1817,38
53,527,402,2,1777,27
54,63,395,5,634,15
55,107,477,2,1296,13
56,309,432,4,383,27
57,392,85,1,949,50
58,365,15,3,1561,46
59,464,284,3,1699,26
60,196,131,3,662,11
61,478,45,1,1499,5
62,244,190,4,1321,20
63,358,321,1,1687,41
64,33,176,2,1122,41
65,411,54,3,312,2
66,133,99,1,667,21
67,42,435,-5,1689,38
68,277,449,-1,1451,23
69,411,108,2,1594,8
70,237,409,4,777,43
71,380,330,3,284,18
72,127,22,5,720,20
73,470,20,3,248,35
74,193,367,5,249,21
75,219,452,1,646,24
76,85,370,2,1498,33
77,481,279,2,738,18
78,96,70,2,1215,48
79,46,234,5,915,7
80,123,107,4,902,0
81,365,314,-5,1686,17
82,85,487,5,1429,0
83,36,340,5,993,48
84,391,413,5,1044,43
85,356,36,2,765,22
86,174,255,5,1284,40
87,139,56,2,495,6
88,128,340,4,1441,12
89,471,290,1,1527,37
90,79,193,2,879,29
91,518,109,1,115,47
92,143,265,1,1088,0
93,514,79,1,371,4
94,88,401,1,327,17
95,496,493,5,1740,43
96,437,362,4,1185,4
97,398,257,2,1539,11
98,51,132,3,655,25
99,234,381,2,808,11
100,139,109,4,165,17
101,454,290,-5,207,21
102,117,264,5,1543,29
103,214,378,5,1841,7
104,133,147,1,1650,25
105,272,494,5,250,26
106,421,468,1,1585,33
107,117,271,5,552,3
108,359,162,4,1820,23
109,187,90,4,1245,26
110,208,190,1,1192,36
111,5,326,4,1732,23
112,83,13,5,1352,30
113,356,189,1,242,25
