order_id,customer_id,order_date,status,region_code
1,250.0,2024-04-10 00:00:00,SHIPPED,SOUTH
2,161.0,2024-05-06 00:00:00,SHIPPED,NORTH
3,434.0,2023-09-19 00:00:00,DELIVERED,SOUTH
4,9.0,2023-02-13 00:00:00,CANCELLED,NORTH
5,259.0,2023-01-04 00:00:00,CANCELLED,SOUTH
6,258.0,2023-05-04 00:00:00,RETURNED,WEST
7,299.0,2024-10-11 00:00:00,CANCELLED,EAST
8,35.0,2023-06-29 00:00:00,SHIPPED,EAST
9,,2024-11-05 00:00:00,RETURNED,EAST
10,232.0,2023-08-28 00:00:00,DELIVERED,WEST
11,75.0,2023-09-02 00:00:00,DELIVERED,NORTH
12,393.0,16-07-2023 00:00:00,DELIVERED,SOUTH
13,175.0,2024-03-13 00:00:00,CANCELLED,SOUTH
14,247.0,2023-10-05 00:00:00,CANCELLED,WEST
15,226.0,2024-10-23 00:00:00,CANCELLED,SOUTH
16,63.0,2024-06-06 00:00:00,DELIVERED,EAST
17,271.0,2024-07-04 00:00:00,CANCELLED,SOUTH
18,326.0,2023-09-22 00:00:00,RETURNED,SOUTH
19,354.0,2024-12-05 00:00:00,DELIVERED,NORTH
20,284.0,2024-01-05 00:00:00,PLACED,SOUTH
21,,2024-06-14 00:00:00,PLACED,SOUTH
22,124.0,2023-07-16 00:00:00,PLACED,EAST
23,24.0,2023-12-14 00:00:00,RETURNED,NORTH
24,115.0,2023-04-24 00:00:00,SHIPPED,SOUTH
25,70.0,2023-06-27 00:00:00,PLACED,EAST
26,170.0,2023-09-14 00:00:00,DELIVERED,WEST
27,214.0,2023-03-12 00:00:00,PLACED,EAST
28,208.0,2024-10-14 00:00:00,PLACED,NORTH
29,,2023-09-03 00:00:00,CANCELLED,WEST
30,133.0,2024-11-26 00:00:00,RETURNED,NORTH
31,441.0,2024-10-01 00:00:00,DELIVERED,WEST
32,451.0,2024-11-20 00:00:00,DELIVERED,WEST
33,202.0,2024-05-02 00:00:00,RETURNED,SOUTH
34,61.0,2023-12-16 00:00:00,RETURNED,EAST
35,159.0,2024-12-14 00:00:00,DELIVERED,EAST
36,355.0,2024-03-06 00:00:00,SHIPPED,EAST
37,297.0,2024-07-25 00:00:00,CANCELLED,EAST
38,335.0,2023-12-01 00:00:00,RETURNED,NORTH
39,459.0,2023-05-17 00:00:00,RETURNED,NORTH
40,101.0,2023-02-27 00:00:00,SHIPPED,NORTH
41,242.0,2024-10-24 00:00:00,CANCELLED,NORTH
42,340.0,2023-08-22 00:00:00,CANCELLED,NORTH
43,63.0,2023-10-16 00:00:00,RETURNED,SOUTH
44,186.0,2023-11-18 00:00:00,CANCELLED,SOUTH
45,376.0,2024-07-18 00:00:00,PLACED,EAST
46,,2023-06-23 00:00:00,CANCELLED,EAST
47,,2024-10-05 00:00:00,CANCELLED,NORTH
48,467.0,2023-10-04 00:00:00,SHIPPED,SOUTH
49,213.0,2023-03-17 00:00:00,SHIPPED,NORTH
50,442.0,2024-09-01 00:00:00,RETURNED,EAST
51,10.0,24-04-2023 00:00:00,RETURNED,EAST
52,,2024-01-24 00:00:00,RETURNED,EAST
53,464.0,2023-11-30 00:00:00,RETURNED,EAST
54,287.0,2024-12-03 00:00:00,RETURNED,SOUTH
55,267.0,2024-10-21 00:00:00,CANCELLED,WEST
56,165.0,2023-09-09 00:00:00,SHIPPED,NORTH
57,283.0,14-01-2024 00:00:00,SHIPPED,SOUTH
58,354.0,2023-10-18 00:00:00,SHIPPED,WEST
59,3.0,2023-02-19 00:00:00,DELIVERED,WEST
60,222.0,2024-03-10 00:00:00,DELIVERED,EAST
61,318.0,2023-10-30 00:00:00,SHIPPED,WEST
62,,2023-03-26 00:00:00,SHIPPED,NORTH
63,205.0,2023-07-18 00:00:00,PLACED,EAST
64,319.0,2024-06-26 00:00:00,SHIPPED,EAST
65,313.0,2023-11-26 00:00:00,CANCELLED,EAST
66,346.0,03-11-2023 00:00:00,PLACED,WEST
67,11.0,2023-10-12 00:00:00,PLACED,EAST
68,343.0,2023-01-01 00:00:00,PLACED,EAST
69,174.0,2024-08-19 00:00:00,SHIPPED,NORTH
70,471.0,2024-01-13 00:00:00,DELIVERED,SOUTH
71,363.0,2023-02-02 00:00:00,PLACED,WEST
72,366.0,2024-12-22 00:00:00,CANCELLED,NORTH
73,372.0,2024-10-16 00:00:00,SHIPPED,WEST
74,42.0,2023-05-09 00:00:00,SHIPPED,EAST
75,89.0,2024-07-25 00:00:00,PLACED,WEST
76,219.0,2023-12-11 00:00:00,SHIPPED,NORTH
77,411.0,2024-10-06 00:00:00,PLACED,EAST
78,275.0,2023-11-07 00:00:00,RETURNED,NORTH
79,370.0,10-04-2024 00:00:00,DELIVERED,NORTH
80,303.0,16-04-2023 00:00:00,SHIPPED,NORTH
81,230.0,2024-05-25 00:00:00,CANCELLED,NORTH
82,470.0,2023-11-05 00:00:00,PLACED,NORTH
83,479.0,2023-05-16 00:00:00,RETURNED,NORTH
84,4.0,2024-04-03 00:00:00,DELIVERED,EAST
85,420.0,2024-12-02 00:00:00,DELIVERED,SOUTH
86,64.0,2024-05-22 00:00:00,SHIPPED,WEST
87,246.0,2023-03-23 00:00:00,SHIPPED,EAST
88,309.0,2024-08-23 00:00:00,PLACED,EAST
89,355.0,2023-02-15 00:00:00,DELIVERED,NORTH
90,313.0,2023-05-24 00:00:00,CANCELLED,EAST
91,483.0,2023-09-08 00:00:00,PLACED,EAST
92,348.0,2023-05-02 00:00:00,CANCELLED,EAST
93,201.0,2024-11-09 00:00:00,CANCELLED,WEST
94,378.0,2024-09-05 00:00:00,CANCELLED,EAST
95,352.0,2023-07-24 00:00:00,RETURNED,WEST
96,137.0,2024-04-01 00:00:00,CANCELLED,SOUTH
97,223.0,2023-09-07 00:00:00,PLACED,WEST
98,17.0,2024-01-23 00:00:00,RETURNED,SOUTH
99,244.0,2024-02-29 00:00:00,SHIPPED,SOUTH
100,301.0,2024-11-09 00:00:00,SHIPPED,SOUTH
101,405.0,2024-03-21 00:00:00,RETURNED,WEST
102,123.0,2024-06-12 00:00:00,PLACED,NORTH
103,484.0,2023-03-16 00:00:00,PLACED,EAST
104,125.0,2023-03-14 00:00:00,PLACED,EAST
105,53.0,2024-08-08 00:00:00,RETURNED,SOUTH
106,375.0,2024-10-11 00:00:00,PLACED,EAST
107,447.0,2024-09-06 00:00:00,SHIPPED,WEST
108,,2024-01-12 00:00:00,DELIVERED,WEST
109,,2023-05-22 00:00:00,DELIVERED,NORTH
110,197.0,2023-07-03 00:00:00,SHIPPED,WEST
111,487.0,2023-07-10 00:00:00,CANCELLED,NORTH
112,66.0,2024-04-10 00:00:00,SHIPPED,EAST
113,410.0,13-03-2024 00:00:00,PLACED,NORTH
114,436.0,09-03-2023 00:00:00,SHIPPED,EAST
115,278.0,2024-01-22 00:00:00,SHIPPED,NORTH
116,69.0,2023-03-05 00:00:00,RETURNED,SOUTH
117,486.0,2024-03-18 00:00:00,CANCELLED,SOUTH
118,396.0,2023-09-26 00:00:00,DELIVERED,SOUTH
119,474.0,2024-02-27 00:00:00,SHIPPED,WEST
120,337.0,2023-03-26 00:00:00,DELIVERED,NORTH
121,492.0,16-01-2024 00:00:00,CANCELLED,WEST
122,353.0,2024-11-15 00:00:00,CANCELLED,SOUTH
123,128.0,2023-03-24 00:00:00,RETURNED,SOUTH
124,162.0,2023-10-19 00:00:00,CANCELLED,WEST
125,106.0,2024-10-17 00:00:00,RETURNED,SOUTH
126,128.0,2023-03-29 00:00:00,CANCELLED,NORTH
127,156.0,15-08-2023 00:00:00,DELIVERED,NORTH
128,,2023-12-17 00:00:00,CANCELLED,SOUTH
129,454.0,07-01-2024 00:00:00,DELIVERED,NORTH
130,75.0,2023-01-02 00:00:00,PLACED,NORTH
131,442.0,2024-08-08 00:00:00,RETURNED,WEST
132,311.0,2024-08-21 00:00:00,DELIVERED,NORTH
133,311.0,2023-09-10 00:00:00,CANCELLED,SOUTH
134,95.0,2023-01-22 00:00:00,PLACED,NORTH
135,145.0,2023-05-18 00:00:00,DELIVERED,EAST
136,44.0,2023-11-22 00:00:00,RETURNED,NORTH
137,169.0,2023-12-20 00:00:00,CANCELLED,NORTH
138,496.0,2023-12-02 00:00:00,PLACED,NORTH
139,420.0,2023-06-08 00:00:00,RETURNED,NORTH
140,300.0,2023-04-27 00:00:00,DELIVERED,EAST
141,398.0,2023-07-13 00:00:00,DELIVERED,NORTH
142,241.0,2024-04-14 00:00:00,CANCELLED,NORTH
143,424.0,2024-04-06 00:00:00,CANCELLED,WEST
144,278.0,2023-11-10 00:00:00,RETURNED,SOUTH
145,285.0,2024-12-12 00:00:00,DELIVERED,EAST
146,213.0,29-12-2024 00:00:00,SHIPPED,SOUTH
147,212.0,2024-10-07 00:00:00,PLACED,EAST
148,424.0,2024-05-17 00:00:00,DELIVERED,SOUTH
149,,2024-09-02 00:00:00,PLACED,WEST
150,88.0,2024-10-25 00:00:00,DELIVERED,SOUTH
151,469.0,2023-03-24 00:00:00,CANCELLED,WEST
152,161.0,2024-04-27 00:00:00,SHIPPED,SOUTH
153,153.0,2023-01-02 00:00:00,CANCELLED,NORTH
154,209.0,2024-11-09 00:00:00,RETURNED,WEST
155,280.0,21-10-2024 00:00:00,CANCELLED,WEST
156,499.0,2024-09-18 00:00:00,PLACED,EAST
157,186.0,2023-04-12 00:00:00,RETURNED,NORTH
158,54.0,2023-06-18 00:00:00,CANCELLED,EAST
159,71.0,2023-07-14 00:00:00,PLACED,SOUTH
160,208.0,2023-09-17 00:00:00,SHIPPED,EAST
161,172.0,2023-03-28 00:00:00,RETURNED,NORTH
162,348.0,05-10-2023 00:00:00,DELIVERED,WEST
